home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,matchdate,period,location,season,competition,home_score,away_score,bet_won,target,odd_win,best_odd_won
Arsenal,Everton,5:1,1.34,5.5,8.98,2022-05-22,2022-05,england,2022,premier-league-2021,5.0,1.0,1,0.0,1.34,True
Brentford,Leeds,1:2,2.32,3.79,2.88,2022-05-22,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,2.88,False
Brighton,West Ham,3:1,2.66,3.46,2.65,2022-05-22,2022-05,england,2022,premier-league-2021,3.0,1.0,1,0.0,2.66,False
Burnley,Newcastle,1:2,2.47,3.27,3.01,2022-05-22,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,3.01,False
Chelsea,Watford,2:1,1.19,7.41,15.39,2022-05-22,2022-05,england,2022,premier-league-2021,2.0,1.0,1,0.0,1.19,True
Crystal Palace,Manchester Utd,1:0,2.81,3.47,2.5,2022-05-22,2022-05,england,2022,premier-league-2021,1.0,0.0,1,0.0,2.81,False
Leicester,Southampton,4:1,1.7,4.26,4.54,2022-05-22,2022-05,england,2022,premier-league-2021,4.0,1.0,1,0.0,1.7,True
Liverpool,Wolves,3:1,1.13,9.19,19.26,2022-05-22,2022-05,england,2022,premier-league-2021,3.0,1.0,1,0.0,1.13,True
Manchester City,Aston Villa,3:2,1.17,8.21,15.57,2022-05-22,2022-05,england,2022,premier-league-2021,3.0,2.0,1,0.0,1.17,True
Norwich,Tottenham,0:5,9.94,5.55,1.31,2022-05-22,2022-05,england,2022,premier-league-2021,0.0,5.0,2,2.0,1.31,True
Everton,Crystal Palace,3:2,1.86,3.5,4.58,2022-05-19,2022-05,england,2022,premier-league-2021,3.0,2.0,1,0.0,1.86,True
Chelsea,Leicester,1:1,1.42,4.91,7.5,2022-05-19,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,4.91,False
Aston Villa,Burnley,1:1,2.03,3.46,3.85,2022-05-19,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.46,False
Southampton,Liverpool,1:2,6.64,4.9,1.46,2022-05-17,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,1.46,True
Newcastle,Arsenal,2:0,4.28,3.78,1.84,2022-05-16,2022-05,england,2022,premier-league-2021,2.0,0.0,1,0.0,4.28,False
Aston Villa,Crystal Palace,1:1,1.84,3.56,4.54,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.56,False
Everton,Brentford,2:3,1.9,3.6,4.22,2022-05-15,2022-05,england,2022,premier-league-2021,2.0,3.0,2,2.0,4.22,False
Leeds,Brighton,1:1,2.64,3.45,2.68,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,3.45,False
Tottenham,Burnley,1:0,1.31,5.54,10.28,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,0.0,1,0.0,1.31,True
Watford,Leicester,1:5,5.12,3.95,1.69,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,5.0,2,2.0,1.69,True
West Ham,Manchester City,2:2,7.94,5.18,1.38,2022-05-15,2022-05,england,2022,premier-league-2021,2.0,2.0,N,1.0,5.18,False
Wolves,Norwich,1:1,1.54,4.43,6.05,2022-05-15,2022-05,england,2022,premier-league-2021,1.0,1.0,N,1.0,4.43,False
Tottenham,Arsenal,3:0,2.28,3.45,3.21,2022-05-12,2022-05,england,2022,premier-league-2021,3.0,0.0,1,0.0,2.28,True
Leeds,Chelsea,0:3,4.87,4.11,1.68,2022-05-11,2022-05,england,2022,premier-league-2021,0.0,3.0,2,2.0,1.68,True
Wolves,Manchester City,1:5,11.97,6.14,1.26,2022-05-11,2022-05,england,2022,premier-league-2021,1.0,5.0,2,2.0,1.26,True
Watford,Everton,0:0,5.71,3.77,1.66,2022-05-11,2022-05,england,2022,premier-league-2021,0.0,0.0,N,1.0,3.77,False
Leicester,Norwich,3:0,1.33,5.6,9.12,2022-05-11,2022-05,england,2022,premier-league-2021,3.0,0.0,1,0.0,1.33,True
Aston Villa,Liverpool,1:2,6.39,4.52,1.51,2022-05-10,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,1.51,True
Arsenal,Leeds,2:1,1.52,4.51,6.18,2022-05-08,2022-05,england,2022,premier-league-2021,2.0,1.0,1,0.0,1.52,True
Leicester,Everton,1:2,2.65,3.25,2.8,2022-05-08,2022-05,england,2022,premier-league-2021,1.0,2.0,2,2.0,2.8,False
