,oddsportal,matchday,home_team,away_team,correct_score,1N2_1,1N2_N,1N2_2,betexplorer
0,soccer/england/premier-league-2021-2022/arsenal-everton-CWuae5l9,22.05.,Arsenal,Everton,5:1,1.34,5.50,8.98,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
1,soccer/england/premier-league-2021-2022/brentford-leeds-QZq3fP3F,22.05.,Brentford,Leeds,1:2,2.32,3.79,2.88,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
2,soccer/england/premier-league-2021-2022/brighton-west-ham-8bZ7gqJL,22.05.,Brighton,West Ham,3:1,2.66,3.46,2.65,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
3,soccer/england/premier-league-2021-2022/burnley-newcastle-utd-nkYBh3YR,22.05.,Burnley,Newcastle,1:2,2.47,3.27,3.01,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
4,soccer/england/premier-league-2021-2022/chelsea-watford-IXKwlNtq,22.05.,Chelsea,Watford,2:1,1.19,7.41,15.39,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
5,soccer/england/premier-league-2021-2022/crystal-palace-manchester-united-dOJsmsdk,22.05.,Crystal Palace,Manchester Utd,1:0,2.81,3.47,2.50,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
6,soccer/england/premier-league-2021-2022/leicester-southampton-vm9nn1Be,22.05.,Leicester,Southampton,4:1,1.70,4.26,4.54,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
7,soccer/england/premier-league-2021-2022/liverpool-wolves-hjDjoLQ1,22.05.,Liverpool,Wolves,3:1,1.13,9.19,19.26,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
8,soccer/england/premier-league-2021-2022/manchester-city-aston-villa-6g1Y9432,22.05.,Manchester City,Aston Villa,3:2,1.17,8.21,15.57,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
9,soccer/england/premier-league-2021-2022/norwich-tottenham-pp0x9OI8,22.05.,Norwich,Tottenham,0:5,9.94,5.55,1.31,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
10,soccer/england/premier-league-2021-2022/everton-crystal-palace-YqNGxuLF,19.05.,Everton,Crystal Palace,3:2,1.86,3.50,4.58,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
11,soccer/england/premier-league-2021-2022/chelsea-leicester-8tdRk9xq,19.05.,Chelsea,Leicester,1:1,1.42,4.91,7.50,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
12,soccer/england/premier-league-2021-2022/aston-villa-burnley-UZOxr6ME,19.05.,Aston Villa,Burnley,1:1,2.03,3.46,3.85,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
13,soccer/england/premier-league-2021-2022/southampton-liverpool-SKD2jeop,17.05.,Southampton,Liverpool,1:2,6.64,4.90,1.46,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
14,soccer/england/premier-league-2021-2022/newcastle-utd-arsenal-IBoZ7NGH,16.05.,Newcastle,Arsenal,2:0,4.28,3.78,1.84,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
15,soccer/england/premier-league-2021-2022/aston-villa-crystal-palace-lWgIB5Hh,15.05.,Aston Villa,Crystal Palace,1:1,1.84,3.56,4.54,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
16,soccer/england/premier-league-2021-2022/everton-brentford-SMhMAPWb,15.05.,Everton,Brentford,2:3,1.90,3.60,4.22,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
17,soccer/england/premier-league-2021-2022/leeds-brighton-ddcQ9qn5,15.05.,Leeds,Brighton,1:1,2.64,3.45,2.68,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
18,soccer/england/premier-league-2021-2022/tottenham-burnley-MsD6kF0j,15.05.,Tottenham,Burnley,1:0,1.31,5.54,10.28,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
19,soccer/england/premier-league-2021-2022/watford-leicester-0YBAlZFd,15.05.,Watford,Leicester,1:5,5.12,3.95,1.69,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
20,soccer/england/premier-league-2021-2022/west-ham-manchester-city-vJsicRJd,15.05.,West Ham,Manchester City,2:2,7.94,5.18,1.38,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
21,soccer/england/premier-league-2021-2022/wolves-norwich-I9tedoZ2,15.05.,Wolves,Norwich,1:1,1.54,4.43,6.05,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
22,soccer/england/premier-league-2021-2022/tottenham-arsenal-ltwL0Wk8,12.05.,Tottenham,Arsenal,3:0,2.28,3.45,3.21,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
23,soccer/england/premier-league-2021-2022/leeds-chelsea-QuopLCkr,11.05.,Leeds,Chelsea,0:3,4.87,4.11,1.68,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
24,soccer/england/premier-league-2021-2022/wolves-manchester-city-8EwivhdK,11.05.,Wolves,Manchester City,1:5,11.97,6.14,1.26,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
25,soccer/england/premier-league-2021-2022/watford-everton-CzGnGQ7o,11.05.,Watford,Everton,0:0,5.71,3.77,1.66,https://www.betexplorer.com/soccer/england/premier-league-2021-2022/results/
